model,target,train_size,mae,rmse,r2,spearman
lightgbm,CQ,30,0.1985661825117145,0.2373968194787784,-0.01884574747564649,
lightgbm,AQ,30,0.1631786693606314,0.1973589805753658,-0.006081576899855667,
lightgbm,HQ,30,0.13321930787093267,0.16689891384379227,-0.024431219192516673,
lightgbm,VQ,30,0.08754138115478009,0.10577255862441406,-0.06744850244867595,
random_forest,CQ,50,0.10941572768140163,0.1381180737121777,0.655126622567751,0.8454895835957377
random_forest,AQ,50,0.07668046034155629,0.09876408931876113,0.748048158415851,0.8992367181399099
random_forest,HQ,50,0.08637380209625684,0.10465213318377606,0.5972162372263818,0.7969015290828022
random_forest,VQ,50,0.0504759679069378,0.06071375188541313,0.6482978240610385,0.7671763609340757
mlp,CQ,50,0.1385548169368503,0.1785208371692858,0.42384879534106246,0.7652517822505479
mlp,AQ,50,0.10952105395046437,0.14053452659367213,0.48986457848461507,0.7413910371060786
mlp,HQ,50,0.10151007968323333,0.1301815156934611,0.3767325713950046,0.6817290979167192
mlp,VQ,50,0.10070320266373192,0.12658457801483494,-0.5288416604675361,0.3492505730911656
xgboost,CQ,50,0.10669185549298145,0.13013687175403915,0.6938323008399763,0.8711942967982468
xgboost,AQ,50,0.0786370648245451,0.10400909922485962,0.7205770455582508,0.8890293976874828
xgboost,HQ,50,0.08987419046880887,0.108308660353124,0.5685781343141794,0.7707937627528528
xgboost,VQ,50,0.04946164833349361,0.06166792181267666,0.637156340462103,0.7780587953749653
lightgbm,CQ,50,0.1234879707222243,0.16298866004498672,0.5197433098739485,0.7301178009718466
lightgbm,AQ,50,0.09711665085355907,0.12635918339190172,0.5875863499513057,0.8016648522525265
lightgbm,HQ,50,0.09465228113387572,0.11959679422758483,0.47396473306833375,0.6674561195217168
lightgbm,VQ,50,0.05565427684416409,0.06731689255806997,0.5676364913415888,0.7050682664484835
random_forest,CQ,70,0.08836399035292392,0.11205506226106905,0.7730022214133337,0.8851600876640553
random_forest,AQ,70,0.08561605747381582,0.10920314934037556,0.6919723258907855,0.8863994760309343
random_forest,HQ,70,0.08466339491523056,0.10182875961649214,0.6186561985769957,0.8206413582890395
random_forest,VQ,70,0.050679954066662695,0.06124772845085775,0.6420841882236541,0.7906441292792907
mlp,CQ,70,0.11286656871645587,0.1507368006424298,0.5892314063178007,0.8688968939718368
mlp,AQ,70,0.09227579083364258,0.12231952362714499,0.6135342848314349,0.8048618283497494
mlp,HQ,70,0.10122601326501524,0.12763598121766034,0.4008686746572996,0.6766203995264126
mlp,VQ,70,0.08527419346829469,0.1088979448244358,-0.13146279897989332,0.48229841045922867
xgboost,CQ,70,0.09296234802587387,0.1127524168586141,0.7701680698673048,0.8853213089150314
xgboost,AQ,70,0.08086551167831567,0.10442231479517752,0.7183524080130024,0.8819457389727184
xgboost,HQ,70,0.08296508320961936,0.10091600503325764,0.6254620028499841,0.8278157039574779
xgboost,VQ,70,0.05279153684306978,0.06419601962434471,0.6067967357572935,0.779882610776633
lightgbm,CQ,70,0.10562396527915931,0.13862558081482176,0.6525875305448616,0.8129402163341313
lightgbm,AQ,70,0.09212832650532404,0.11867143243817106,0.6362426484707187,0.842388196562102
lightgbm,HQ,70,0.08882094280133843,0.11021147783663653,0.5532861309846058,0.7081261367831773
lightgbm,VQ,70,0.05624379281568379,0.06706847730195938,0.5708216507112106,0.7612673093950623
random_forest,CQ,100,0.0845254410141499,0.11425670022236616,0.7639945678154139,0.8884248179963221
random_forest,AQ,100,0.09006989192562233,0.11622313250166585,0.6510971129408762,0.8390105045721339
random_forest,HQ,100,0.06870096767058528,0.08387220872387903,0.7412907574946931,0.886077033528982
random_forest,VQ,100,0.05077684131857415,0.061159717161982805,0.6431120793775527,0.7927903871829105
mlp,CQ,100,0.10232118198735363,0.14478367933732078,0.6210360811911457,0.8462856135224325
mlp,AQ,100,0.09013947888069687,0.12317197124685846,0.6081289380327712,0.8120361740181878
mlp,HQ,100,0.09053071694872306,0.12076178979844894,0.46366657163814284,0.7426001964883996
mlp,VQ,100,0.08651591243584013,0.1117036495670102,-0.19051709891436408,0.5505252286066957
xgboost,CQ,100,0.08039499528331803,0.11002551162252712,0.7811505607613302,0.9004055722094869
xgboost,AQ,100,0.08453759439102784,0.10983345824794272,0.6884062583930013,0.8579237725772728
xgboost,HQ,100,0.0687238531858383,0.08335704043748655,0.7444591366268097,0.869118573191929
