id,D_H,EC,EO,VE,PH,WA,NF,GLR,VC,TDS,TRS,TWS
724,-0.06628501,0.012308662,8.479376e-05,0.0119663915,-0.0013272202,-0.009143583,0.0015410127,-0.004061354,-0.0015664118,-0.0028898888,0.0052256966,-0.019815607
2715,0.0094454205,0.017602183,0.002100416,0.0016997791,0.0007393657,0.0041884515,-0.0003895219,0.02028235,0.009722626,-0.00048153984,0.009118027,0.0103905555
31,-0.003981765,-0.005962027,0.004569423,-0.0007942007,-0.0007628895,0.0018321229,-0.0012197054,-0.005926882,-0.005026376,-0.00035998548,-0.0042504123,0.007835531
2345,-0.1130397,-0.011976527,-0.002717404,-0.00051898544,-0.0022331213,-0.023061631,-0.026953816,-0.0032141833,-0.0054306015,-0.002638973,-0.033335563,-0.021638032
2276,0.0806654,0.015201807,0.0033060045,0.0112956045,-2.0310374e-05,0.018194182,0.00021545796,0.0070185997,0.002490686,-0.00035970993,8.9737296e-05,-0.019191464
464,0.13498183,0.0109352395,0.0034358222,-0.0028219644,0.00039816415,0.009764794,0.0012025834,-0.008242258,0.0076721096,0.00039332602,-6.88114e-05,0.012245323
1290,-0.06720953,0.0057024043,0.00014043505,-0.004440753,-0.001221245,-0.01658259,0.00048558688,0.006041118,-0.0038002646,0.006897582,0.009764688,-0.018161494
3481,0.06299219,-0.0024943894,-9.288301e-05,-0.0039246543,-0.00040163886,-0.0012778237,-0.0001774443,-0.0022792218,0.0073870244,-0.00029155263,0.0022322447,0.018212806
3676,-0.04808013,0.027431255,-0.001277061,0.007431406,-0.0010442005,0.012428934,0.00021437208,0.00064497144,0.001089807,-0.0005283958,0.0006657202,0.011786458
562,0.054905314,0.0014165047,0.0028685401,0.010139175,-0.00054665335,0.013869164,-0.00058299315,0.0011905435,0.010835669,0.0001278515,0.01633955,0.017613024
43,0.05208892,0.0023375978,0.0017360038,0.013825292,0.00029834377,0.007935416,-0.0003534277,0.012872356,0.0113805635,-0.00042091432,0.009509169,0.017975459
3933,0.10643749,-0.007154913,0.0001461389,-0.0063662385,-0.00046343185,0.00616416,-0.00027059816,-0.012186751,-0.010035937,-0.0005326786,-0.010460958,0.010226419
436,0.03463294,-0.0045479327,-0.0006294092,-0.0032558593,-0.0009175108,-0.0062668566,-0.0009061178,-0.0064270613,-0.0077422718,-0.00053907424,0.0062795826,0.013657463
1643,-0.03690533,0.0038668849,-0.00049939967,0.0024235868,0.026086899,0.0011333261,0.0003678014,0.0010910643,0.005884208,-0.00048757182,0.0017637037,0.012601731
1932,0.039673943,0.016477928,0.004498004,0.008893181,-0.00063076534,0.020261012,-0.0006002164,0.0034664688,0.0014146321,-0.000318565,-0.0005900044,-0.015041108
3274,-0.02539208,-0.0023492153,-0.0020713436,-0.0058235605,-0.0016099003,0.0069934083,-0.001607095,-0.012200043,-0.013694193,-0.0009502618,-0.010397471,0.008119406
10,0.14472702,0.00022207324,0.0016475135,0.0114402445,0.0005235376,0.001199064,0.0016675193,0.017731218,0.01811676,0.00043827153,-0.004351699,0.01479976
841,-0.06834627,-0.00028601632,-0.0013621219,-0.004462168,-0.0014348464,-0.0045041833,-0.00039847996,-0.00591501,-0.0002258995,0.0021471903,0.0036819067,-0.045755573
1429,0.05736608,-0.005635775,0.0009053742,-0.0011995534,-0.0011692593,0.015633691,0.0024317885,-0.0056048892,0.0040093516,-0.0005076017,-0.0044541294,0.0142645
