id,D_H,EC,EO,VE,PH,WA,NF,GLR,VC,TDS,TRS,TWS
724,0.056409024,0.0016859391,0.009938302,-0.00030055136,-0.00083291234,-0.0019262385,0.0004736742,-0.0012375563,-0.0012317321,-0.018732987,0.07492312,0.14387989
2715,0.019324107,-1.5585727e-05,0.0017417972,0.010630099,0.00040708348,0.016119191,0.0005253369,-0.015010359,-0.008122766,-0.0040967814,-0.08839443,-0.06629165
31,0.038081653,-0.003966299,-0.010616733,0.0041063614,-0.00026710433,0.0026723172,0.0009626381,0.0012174419,0.008572094,-0.0062137716,0.14694114,-0.07447345
2345,0.099731654,0.007690686,0.015224977,-0.0025895264,-0.0011138485,0.020894764,-8.7989894e-05,-0.0006074363,0.0035650507,-0.0045889113,-0.06466426,0.08810888
2276,-0.0809657,-0.004568337,-0.025939789,-0.0026017856,-0.0025737053,-0.009460645,0.0008006635,-0.0010154727,-0.0015917686,-0.0031683862,-0.07723671,0.11076117
464,-0.09100687,0.016743341,-0.015599062,0.00092658633,-0.0009374241,0.00040217518,0.00032195388,0.0031220268,0.005829657,-0.0026833513,-0.100370325,-0.059633594
1290,0.07390978,0.0048707435,0.011791683,0.004241599,0.0033280114,0.00398509,0.00036190808,-0.00017657528,6.939308e-06,0.056778062,0.11609829,0.17550096
3481,-0.108766474,0.004716906,0.006385891,-0.0031535947,-0.00052681187,-0.025874525,0.0023481525,0.0017946685,-0.0016699085,-0.002772771,-0.08177132,-0.067482606
3676,0.026597563,-0.0070959087,0.015076112,-0.007972111,-0.0005481097,0.0063083195,0.001141273,0.0037578424,0.0042315354,-0.004108144,-0.10243231,-0.068700485
562,0.023678513,-0.0009482878,-0.007077368,-0.00085630466,-0.00036757454,0.01323062,0.00057119504,0.005797138,0.0056490926,-0.006011346,0.17584975,-0.07410602
43,-0.05113774,0.0035435657,0.0010424261,-3.4022987e-06,-0.0002184142,0.01627395,0.0010560774,-0.00041396107,-0.013301463,-0.0034790994,-0.09569339,-0.06697916
3933,-0.16119039,-0.016920632,-0.018054506,-0.00713361,-0.0009895202,0.0022124508,-0.0005332566,-0.00067684177,-0.0039765923,-0.0041501517,0.0642489,-0.0840454
436,-0.025180262,-0.0016848644,0.007512658,0.0023957214,0.00308337,0.013389248,0.0014756055,0.008973727,0.0025103823,-0.0040250514,0.18332504,-0.06566844
1643,0.06253981,-0.0046197176,0.010715887,0.00016199562,0.006036059,0.012219368,0.0005655401,0.0020346045,0.008536666,-0.008336065,0.1456833,0.057900745
1932,-0.06225374,-0.0019376121,-0.02184841,-0.005013859,-0.00348367,-0.010610273,0.0016639523,0.004417134,-0.00409568,-0.0032626416,-0.08765725,0.10011534
3274,0.04928998,0.00479591,-0.008335052,-5.5863646e-05,0.0017885448,0.0012825145,0.0005118543,0.0047376254,-0.0019214422,-0.0059125074,0.13708761,-0.075810865
10,-0.08749436,0.007066492,0.02571249,0.0094781965,-0.000397118,0.023979846,0.0018757627,0.004466092,0.0067702755,-0.002845178,-0.018953329,-0.06238872
841,0.07495258,0.0036778457,0.011568858,0.0033034682,-0.0005417988,0.008509455,0.00066442986,0.002564881,0.00404663,0.07755375,0.15260616,0.1818472
1429,-0.0641221,-0.00355283,0.009735398,-0.009564417,-0.0011836082,-0.020222114,-0.0068096034,-0.002754189,-0.005632305,-0.0039913603,-0.17612515,-0.06680095
